Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,PF,25,SAC,49,24,678,87,149,.584,11,29,.379,76,120,.633,.621,38,51,.745,51,94,145,20,21,18,20,87,223
2,Jordan Adams,SG,21,MEM,2,0,15,2,6,.333,0,1,.000,2,5,.400,.333,3,5,.600,0,2,2,3,3,0,2,2,7
3,Steven Adams,C,22,OKC,71,71,1757,225,367,.613,0,0,,225,367,.613,.613,100,169,.592,184,273,457,51,35,78,72,194,550
4,Arron Afflalo,SG,30,NYK,63,57,2141,331,730,.453,83,213,.390,248,517,.480,.510,103,123,.837,20,221,241,130,22,9,72,128,848
5,Alexis Ajinca,C,27,NOP,51,11,651,103,222,.464,0,1,.000,103,221,.466,.464,38,46,.826,56,147,203,23,14,27,32,111,244
6,Cole Aldrich,C,27,LAC,49,2,591,98,178,.551,0,0,,98,178,.551,.551,47,69,.681,63,142,205,39,31,52,49,113,243
7,LaMarcus Aldridge,PF,30,SAS,67,67,2041,485,949,.511,0,16,.000,485,933,.520,.511,231,269,.859,157,416,573,102,30,76,89,143,1201
8,Cliff Alexander,PF,20,POR,7,0,31,5,10,.500,0,0,,5,10,.500,.500,0,0,,2,4,6,0,1,2,1,0,10
9,Lavoy Allen,PF,26,IND,69,21,1413,161,319,.505,0,0,,161,319,.505,.505,35,57,.614,138,232,370,70,23,40,60,130,357
10,Tony Allen,SF,34,MEM,58,51,1478,189,412,.459,15,38,.395,174,374,.465,.477,80,125,.640,90,179,269,63,97,16,67,162,473
11,Al-Farouq Aminu,SF,25,POR,74,74,2110,260,641,.406,106,307,.345,154,334,.461,.488,100,137,.730,91,357,448,122,62,45,105,156,726
12,Lou Amundson,PF,33,NYK,26,0,191,19,49,.388,0,0,,19,49,.388,.388,12,25,.480,21,25,46,12,5,7,11,41,50
13,Chris Andersen,C,37,TOT,18,7,240,25,41,.610,3,8,.375,22,33,.667,.646,17,26,.654,20,41,61,8,6,9,7,17,70
14,Alan Anderson,SG,33,WAS,9,0,130,17,41,.415,11,28,.393,6,13,.462,.549,9,11,.818,1,18,19,9,2,1,2,17,54
15,James Anderson,SG,26,SAC,42,12,501,40,115,.348,16,56,.286,24,59,.407,.417,11,12,.917,10,49,59,21,13,9,26,39,107
16,Justin Anderson,SG,22,DAL,45,1,388,43,114,.377,16,57,.281,27,57,.474,.447,26,33,.788,6,66,72,14,12,14,17,26,128
17,Kyle Anderson,SF,22,SAS,69,8,1036,115,248,.464,9,30,.300,106,218,.486,.482,50,67,.746,23,169,192,95,46,28,53,81,289
18,Ryan Anderson,PF,27,NOP,66,7,2008,397,929,.427,131,358,.366,266,571,.466,.498,199,228,.873,131,265,396,73,38,25,90,109,1124
19,Giannis Antetokounmpo,SF,21,MIL,72,71,2537,457,907,.504,17,87,.195,440,820,.537,.513,264,363,.727,102,443,545,289,85,98,178,234,1195
20,Thanasis Antetokounmpo,SF,23,NYK,2,0,6,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,,0,1,1,0,0,0,0,2,6
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Carmelo Anthony,SF,31,NYK,66,66,2347,521,1200,.434,96,278,.345,425,922,.461,.474,313,380,.824,93,430,523,276,57,33,161,164,1451
22,Joel Anthony,C,33,DET,17,0,67,3,7,.429,0,0,,3,7,.429,.429,5,6,.833,7,9,16,1,2,4,2,13,11
23,Keith Appling,PG,23,ORL,5,0,27,2,8,.250,0,3,.000,2,5,.400,.250,2,2,1.000,0,1,1,1,1,0,3,5,6
24,Trevor Ariza,SF,30,HOU,72,72,2532,309,759,.407,163,443,.368,146,316,.462,.514,108,140,.771,59,268,327,164,148,22,102,160,889
25,Darrell Arthur,PF,27,DEN,65,15,1411,199,436,.456,37,97,.381,162,339,.478,.499,36,48,.750,74,187,261,91,52,44,58,169,471
26,Omer Asik,C,29,NOP,59,55,1024,86,164,.524,0,0,,86,164,.524,.524,52,96,.542,108,258,366,22,17,23,48,111,224
27,D.J. Augustin,PG,28,TOT,53,0,987,124,291,.426,60,139,.432,64,152,.421,.529,83,104,.798,7,75,82,159,31,3,65,76,391
28,Jeff Ayres,C,28,LAC,7,0,18,3,3,1.000,0,0,,3,3,1.000,1.000,2,2,1.000,2,3,5,2,0,3,1,2,8
29,Luke Babbitt,SF,26,NOP,38,8,574,71,173,.410,30,80,.375,41,93,.441,.497,17,24,.708,16,82,98,25,7,5,12,65,189
30,Cameron Bairstow,C,25,CHI,18,2,103,13,40,.325,1,5,.200,12,35,.343,.338,7,8,.875,4,24,28,6,2,3,4,19,34
31,Leandro Barbosa,SG,33,GSW,59,0,920,151,326,.463,33,98,.337,118,228,.518,.514,50,60,.833,22,70,92,77,38,9,45,93,385
32,J.J. Barea,PG,31,DAL,66,10,1441,258,591,.437,83,217,.382,175,374,.468,.507,64,82,.780,23,103,126,259,20,2,97,100,663
33,Andrea Bargnani,C,30,BRK,46,0,634,127,279,.455,3,16,.188,124,263,.471,.461,47,57,.825,28,69,97,18,4,9,26,61,304
34,Harrison Barnes,SF,23,GSW,56,49,1702,239,526,.454,63,167,.377,176,359,.490,.514,91,118,.771,68,198,266,104,38,10,48,116,632
35,Matt Barnes,SF,35,MEM,67,36,1880,229,591,.387,104,315,.330,125,276,.453,.475,89,112,.795,70,281,351,138,70,56,102,208,651
36,Will Barton,SG,25,DEN,73,1,2085,391,887,.441,99,279,.355,292,608,.480,.497,191,235,.813,57,383,440,177,62,32,129,132,1072
37,Brandon Bass,PF,30,LAL,63,0,1287,170,307,.554,0,2,.000,170,305,.557,.554,123,145,.848,98,175,273,70,33,55,41,120,463
38,Nicolas Batum,SG,27,CHO,64,64,2279,342,806,.424,133,374,.356,209,432,.484,.507,156,184,.848,50,349,399,364,61,42,191,106,973
39,Jerryd Bayless,SG,27,MIL,51,17,1493,184,433,.425,101,230,.439,83,203,.409,.542,70,90,.778,21,119,140,162,46,11,72,111,539
40,Aron Baynes,C,29,DET,73,0,1088,177,347,.510,0,2,.000,177,345,.513,.510,104,141,.738,128,216,344,50,20,50,60,138,458
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Kent Bazemore,SF,26,ATL,68,61,1885,289,652,.443,98,273,.359,191,379,.504,.518,110,132,.833,24,308,332,147,82,30,121,152,786
42,Bradley Beal,SG,22,WAS,47,27,1459,312,688,.453,92,231,.398,220,457,.481,.520,115,149,.772,31,127,158,134,46,10,93,103,831
43,Michael Beasley,SF,27,HOU,11,0,208,68,122,.557,3,6,.500,65,116,.560,.570,20,27,.741,14,39,53,5,7,7,16,25,159
44,Marco Belinelli,SG,29,SAC,68,7,1672,245,635,.386,91,297,.306,154,338,.456,.457,115,138,.833,10,107,117,127,37,2,80,91,696
45,Anthony Bennett,PF,22,TOR,19,0,84,8,27,.296,3,14,.214,5,13,.385,.352,9,10,.900,6,17,23,0,5,0,4,8,28
46,Patrick Beverley,PG,27,HOU,62,54,1760,216,508,.425,109,269,.405,107,239,.448,.532,52,77,.675,60,151,211,187,82,23,83,203,593
47,Bismack Biyombo,C,23,TOR,72,22,1637,138,254,.543,0,1,.000,138,253,.545,.543,126,198,.636,164,431,595,26,17,122,67,204,402
48,Nemanja Bjelica,PF,27,MIN,51,0,868,80,187,.428,35,103,.340,45,84,.536,.521,27,40,.675,35,124,159,64,21,16,37,128,222
49,Tarik Black,C,24,LAL,30,0,345,39,71,.549,0,0,,39,71,.549,.549,12,31,.387,30,86,116,13,10,13,18,58,90
50,DeJuan Blair,C,26,WAS,29,0,218,28,68,.412,0,1,.000,28,67,.418,.412,5,13,.385,20,37,57,11,8,2,15,53,61
51,Steve Blake,PG,35,DET,50,0,836,77,202,.381,42,125,.336,35,77,.455,.485,12,16,.750,9,64,73,165,20,4,74,65,208
52,Eric Bledsoe,PG,26,PHO,31,31,1059,223,492,.453,48,129,.372,175,363,.482,.502,138,172,.802,18,107,125,190,63,19,110,75,632
53,Bojan Bogdanovic,SF,26,BRK,71,31,1913,289,653,.443,116,301,.385,173,352,.491,.531,97,117,.829,35,197,232,90,26,4,102,109,791
54,Andrew Bogut,C,31,GSW,62,58,1289,158,254,.622,1,1,1.000,157,253,.621,.624,24,50,.480,111,327,438,144,30,106,70,195,341
55,Matt Bonner,C,35,SAS,24,1,144,22,41,.537,12,24,.500,10,17,.588,.683,3,4,.750,3,19,22,8,5,0,3,8,59
56,Devin Booker,SG,19,PHO,67,42,1788,303,707,.429,84,241,.349,219,466,.470,.488,183,218,.839,23,136,159,167,37,13,124,193,873
57,Trevor Booker,PF,28,UTA,70,2,1463,165,345,.478,9,36,.250,156,309,.505,.491,61,89,.685,154,261,415,73,56,34,75,152,400
58,Chris Bosh,PF,31,MIA,53,53,1778,358,767,.467,81,222,.365,277,545,.508,.520,213,268,.795,48,342,390,128,36,34,78,101,1010
59,Avery Bradley,SG,25,BOS,68,64,2287,406,912,.445,134,373,.359,272,539,.505,.519,83,103,.806,41,150,191,142,103,16,101,146,1029
60,Elton Brand,PF,36,PHI,10,0,101,15,36,.417,0,0,,15,36,.417,.417,4,5,.800,1,18,19,9,6,4,4,18,34
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,Corey Brewer,SF,29,HOU,73,12,1527,198,500,.396,61,207,.295,137,293,.468,.457,97,129,.752,35,144,179,103,79,17,72,155,554
62,Aaron Brooks,PG,31,CHI,60,0,962,162,421,.385,57,167,.341,105,254,.413,.452,45,60,.750,18,76,94,155,25,9,70,116,426
63,Anthony Brown,SF,23,LAL,29,11,599,39,126,.310,20,70,.286,19,56,.339,.389,17,20,.850,9,61,70,19,14,5,15,34,115
64,Lorenzo Brown,PG,25,PHO,8,0,61,8,25,.320,1,8,.125,7,17,.412,.340,3,4,.750,0,7,7,11,3,1,9,4,20
65,Markel Brown,SG,24,BRK,52,6,739,86,226,.381,30,92,.326,56,134,.418,.447,57,72,.792,16,67,83,66,26,7,37,73,259
66,Kobe Bryant,SF,37,LAL,56,56,1611,331,922,.359,109,385,.283,222,537,.413,.418,187,232,.806,38,187,225,169,49,12,113,105,958
67,Chase Budinger,SF,27,TOT,58,2,836,94,221,.425,22,79,.278,72,142,.507,.475,36,50,.720,39,101,140,56,30,9,36,58,246
68,Reggie Bullock,SF,24,DET,32,0,327,31,75,.413,16,40,.400,15,35,.429,.520,12,13,.923,12,39,51,15,8,1,6,23,90
69,Trey Burke,PG,23,UTA,63,0,1356,261,629,.415,87,253,.344,174,376,.463,.484,67,82,.817,18,94,112,146,35,6,80,86,676
70,Alec Burks,SG,24,UTA,28,3,760,133,325,.409,29,75,.387,104,250,.416,.454,106,141,.752,16,84,100,59,16,4,49,69,401
71,Caron Butler,SF,35,SAC,14,1,147,21,48,.438,2,16,.125,19,32,.594,.458,10,12,.833,5,15,20,9,9,0,2,17,54
72,Jimmy Butler,SG,26,CHI,57,57,2118,403,894,.451,55,173,.318,348,721,.483,.482,351,427,.822,59,235,294,253,98,36,108,106,1212
73,Rasual Butler,SF,36,SAS,46,0,432,49,104,.471,15,49,.306,34,55,.618,.543,11,16,.688,3,53,56,24,13,23,8,11,124
74,Bruno Caboclo,SF,20,TOR,5,0,8,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,1,1,0,1,0,1,0,0
75,Jose Calderon,PG,34,NYK,70,70,1984,205,446,.460,81,197,.411,124,249,.498,.550,42,48,.875,21,199,220,292,61,7,84,130,533
76,Kentavious Caldwell-Pope,SG,22,DET,69,69,2532,372,881,.422,103,338,.305,269,543,.495,.481,171,210,.814,62,195,257,130,102,17,95,152,1018
77,Isaiah Canaan,PG,24,PHI,72,34,1824,240,667,.360,161,446,.361,79,221,.357,.481,136,163,.834,20,143,163,129,53,10,88,124,777
78,Clint Capela,C,21,HOU,68,35,1312,201,348,.578,0,1,.000,201,347,.579,.578,75,197,.381,170,258,428,42,49,79,56,167,477
79,DeMarre Carroll,SF,29,TOR,23,22,735,99,255,.388,42,111,.378,57,144,.396,.471,28,48,.583,28,82,110,24,38,5,27,57,268
80,Vince Carter,SG,39,MEM,51,0,807,99,265,.374,45,144,.313,54,121,.446,.458,56,65,.862,22,95,117,42,33,15,32,84,299
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
81,Michael Carter-Williams,PG,24,MIL,54,37,1649,251,555,.452,15,55,.273,236,500,.472,.466,106,162,.654,48,228,276,281,80,41,153,162,623
82,Omri Casspi,SF,27,SAC,65,20,1793,283,593,.477,108,268,.403,175,325,.538,.568,94,143,.657,56,336,392,85,55,16,89,146,768
83,Willie Cauley-Stein,C,22,SAC,56,32,1108,150,256,.586,0,2,.000,150,254,.591,.586,60,96,.625,106,177,283,21,34,56,35,118,360
84,Mario Chalmers,PG,29,TOT,61,7,1373,182,444,.410,46,149,.309,136,295,.461,.462,218,262,.832,24,133,157,230,88,13,111,181,628
85,Tyson Chandler,C,33,PHO,59,53,1399,147,264,.557,0,1,.000,147,263,.559,.557,87,142,.613,151,348,499,52,32,37,82,126,381
86,Ian Clark,SG,24,GSW,58,1,509,84,188,.447,29,77,.377,55,111,.495,.524,26,31,.839,13,49,62,60,14,11,40,53,223
87,Coty Clarke,SF,23,BOS,3,0,6,2,4,.500,2,2,1.000,0,2,.000,.750,0,0,,0,1,1,0,0,0,1,0,6
88,Jordan Clarkson,SG,23,LAL,69,69,2214,418,954,.438,94,262,.359,324,692,.468,.487,145,180,.806,82,185,267,173,76,7,118,150,1075
89,Norris Cole,PG,27,NOP,45,23,1198,196,484,.405,33,102,.324,163,382,.427,.439,52,65,.800,10,141,151,167,37,5,75,102,477
90,Darren Collison,PG,28,SAC,67,11,1982,331,690,.480,79,199,.397,252,491,.513,.537,168,199,.844,26,122,148,273,70,3,115,127,909
91,Nick Collison,PF,35,OKC,54,3,636,45,101,.446,0,2,.000,45,99,.455,.446,22,31,.710,64,91,155,42,13,14,44,100,112
92,Mike Conley,PG,28,MEM,56,56,1760,294,696,.422,78,215,.363,216,481,.449,.478,191,229,.834,26,138,164,342,67,16,84,100,857
93,Pat Connaughton,SG,23,POR,29,0,105,12,40,.300,4,16,.250,8,24,.333,.350,5,5,1.000,8,15,23,9,2,0,8,4,33
94,Chris Copeland,PF,31,MIL,24,1,156,17,51,.333,10,36,.278,7,15,.467,.431,6,7,.857,1,9,10,11,2,0,6,17,50
95,Bryce Cotton,PG,23,PHO,3,0,33,2,8,.250,0,3,.000,2,5,.400,.250,0,0,,0,0,0,3,3,0,5,2,4
96,DeMarcus Cousins,C,25,SAC,61,61,2115,565,1257,.449,68,201,.338,497,1056,.471,.477,456,629,.725,152,557,709,201,90,84,233,223,1654
97,Robert Covington,SF,25,PHI,58,42,1595,224,580,.386,130,381,.341,94,199,.472,.498,119,150,.793,53,296,349,81,90,37,132,198,697
98,Allen Crabbe,SG,23,POR,73,8,1904,281,618,.455,97,257,.377,184,361,.510,.533,83,96,.865,25,170,195,89,58,13,58,178,742
99,Jamal Crawford,SG,35,LAC,71,3,1900,334,842,.397,95,293,.324,239,549,.435,.453,211,232,.909,16,113,129,158,44,10,98,112,974
100,Jae Crowder,SF,25,BOS,66,66,2103,331,736,.450,113,325,.348,218,411,.530,.526,174,211,.825,61,277,338,124,117,32,78,177,949
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
101,Dante Cunningham,SF,28,NOP,70,36,1627,141,320,.441,45,146,.308,96,174,.552,.511,36,52,.692,52,157,209,54,38,31,30,148,363
102,Jared Cunningham,SG,24,TOT,44,3,410,36,105,.343,12,39,.308,24,66,.364,.400,36,55,.655,3,35,38,20,14,2,21,41,120
103,Seth Curry,PG,25,SAC,34,1,391,48,110,.436,21,52,.404,27,58,.466,.532,27,34,.794,6,28,34,26,13,3,17,24,144
104,Stephen Curry,PG,27,GSW,69,69,2341,703,1387,.507,348,769,.453,355,618,.574,.632,328,363,.904,61,312,373,452,145,14,221,137,2082
105,Troy Daniels,SG,24,CHO,38,0,384,71,154,.461,46,97,.474,25,57,.439,.610,5,9,.556,7,41,48,16,8,3,18,31,193
106,Anthony Davis,PF,22,NOP,61,61,2164,560,1136,.493,35,108,.324,525,1028,.511,.508,326,430,.758,130,497,627,116,78,125,121,148,1481
107,Ed Davis,PF,26,POR,73,0,1522,185,302,.613,0,0,,185,302,.613,.613,110,196,.561,200,336,536,79,51,62,54,177,480
108,Branden Dawson,PF,22,LAC,3,0,14,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,1,3,0,0,1,0,2,2
109,Dewayne Dedmon,C,26,ORL,50,14,603,75,145,.517,0,0,,75,145,.517,.517,45,59,.763,57,136,193,12,19,37,25,92,195
110,Bryce Dejean-Jones,SG,23,NOP,14,11,279,28,69,.406,12,32,.375,16,37,.432,.493,11,21,.524,8,40,48,15,10,2,11,17,79
111,Sam Dekker,SF,21,HOU,3,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,0,0
112,Matthew Dellavedova,SG,25,CLE,67,12,1695,191,461,.414,94,219,.429,97,242,.401,.516,52,61,.852,28,115,143,298,42,7,107,156,528
113,Luol Deng,SF,30,MIA,64,63,2045,282,632,.446,75,220,.341,207,412,.502,.506,132,172,.767,88,283,371,113,65,24,66,104,771
114,DeMar DeRozan,SG,26,TOR,71,71,2570,559,1252,.446,42,128,.328,517,1124,.460,.463,519,614,.845,57,258,315,280,74,21,164,158,1679
115,Boris Diaw,PF,33,SAS,72,4,1318,190,361,.526,25,67,.373,165,294,.561,.561,52,70,.743,54,168,222,166,26,20,85,95,457
116,Gorgui Dieng,C,26,MIN,73,30,1999,273,513,.532,4,17,.235,269,496,.542,.536,183,221,.828,139,387,526,132,86,87,130,201,733
117,Spencer Dinwiddie,PG,22,DET,9,0,111,14,35,.400,1,7,.143,13,28,.464,.414,11,19,.579,0,9,9,13,2,0,5,16,40
118,Toney Douglas,PG,29,NOP,51,9,940,128,328,.390,60,155,.387,68,173,.393,.482,53,67,.791,17,84,101,115,59,5,46,111,369
119,Goran Dragic,SG,29,MIA,63,63,2071,354,745,.475,57,182,.313,297,563,.528,.513,103,146,.705,39,197,236,371,63,12,160,160,868
120,Andre Drummond,C,22,DET,74,74,2447,519,982,.529,2,6,.333,517,976,.530,.530,196,543,.361,364,738,1102,60,108,105,144,229,1236
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
121,Jared Dudley,PF,30,WAS,71,39,1916,212,445,.476,96,225,.427,116,220,.527,.584,64,89,.719,47,207,254,147,64,15,72,167,584
122,Tim Duncan,C,39,SAS,55,54,1370,194,386,.503,0,2,.000,194,384,.505,.503,81,114,.711,102,304,406,154,46,68,83,119,469
123,Mike Dunleavy,SF,35,CHI,22,21,526,62,148,.419,33,79,.418,29,69,.420,.530,20,23,.870,8,60,68,34,9,5,22,48,177
124,Kevin Durant,SF,27,OKC,66,66,2366,637,1249,.510,166,423,.392,471,826,.570,.576,400,448,.893,40,509,549,327,61,81,230,125,1840
125,Cleanthony Early,SF,24,NYK,11,0,34,3,6,.500,1,4,.250,2,2,1.000,.583,0,0,,0,2,2,1,1,1,1,3,7
126,Jarell Eddie,SF,24,WAS,21,0,98,13,42,.310,12,34,.353,1,8,.125,.452,4,4,1.000,1,13,14,2,2,1,1,4,42
127,Wayne Ellington,SG,28,BRK,67,33,1402,191,475,.402,80,221,.362,111,254,.437,.486,49,58,.845,16,136,152,67,42,3,37,72,511
128,Monta Ellis,SG,30,IND,72,72,2478,394,922,.427,80,254,.315,314,668,.470,.471,146,186,.785,33,206,239,345,136,34,188,158,1014
129,James Ennis,SF-PF,25,TOT,13,0,47,4,13,.308,2,8,.250,2,5,.400,.385,6,10,.600,4,3,7,3,4,2,2,2,16
130,Tyler Ennis,PG,21,MIL,38,5,418,58,135,.430,10,29,.345,48,106,.453,.467,16,23,.696,7,41,48,62,14,1,26,42,142
131,Jeremy Evans,SF,28,DAL,30,2,251,26,48,.542,4,16,.250,22,32,.688,.583,15,21,.714,11,43,54,2,6,9,7,19,71
132,Tyreke Evans,PG,26,NOP,25,25,765,136,314,.433,33,85,.388,103,229,.450,.486,74,93,.796,20,109,129,164,32,8,73,66,379
133,Festus Ezeli,C,26,GSW,40,11,710,117,210,.557,0,0,,117,210,.557,.557,66,124,.532,83,151,234,31,17,49,36,92,300
134,Kenneth Faried,PF,26,DEN,61,59,1565,332,578,.574,0,1,.000,332,577,.575,.574,122,203,.601,216,320,536,71,28,54,81,154,786
135,Jordan Farmar,PG,29,MEM,3,1,77,10,24,.417,5,12,.417,5,12,.417,.521,6,6,1.000,0,6,6,11,6,0,5,6,31
136,Derrick Favors,PF,24,UTA,56,54,1818,384,751,.511,0,2,.000,384,749,.513,.511,172,240,.717,160,307,467,89,66,85,96,140,940
137,Cristiano Felicio,C,23,CHI,22,2,163,15,31,.484,0,2,.000,15,29,.517,.484,7,12,.583,12,40,52,15,5,5,5,13,37
138,Raymond Felton,PG,31,DAL,71,28,1929,241,588,.410,53,183,.290,188,405,.464,.455,122,143,.853,31,193,224,245,60,12,100,118,657
139,Evan Fournier,SF,23,ORL,70,62,2254,365,806,.453,137,343,.399,228,463,.492,.538,167,203,.823,29,171,200,183,87,2,109,188,1034
140,Randy Foye,SG,32,TOT,72,7,1463,150,428,.350,68,229,.297,82,199,.412,.430,51,62,.823,23,120,143,144,35,23,74,117,419
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
141,Tim Frazier,PG,25,TOT,41,1,431,50,114,.439,7,25,.280,43,89,.483,.469,29,38,.763,16,46,62,72,15,1,45,45,136
142,Jimmer Fredette,SG,26,TOT,6,0,18,2,5,.400,1,2,.500,1,3,.333,.500,4,5,.800,0,0,0,1,1,0,2,2,9
143,Channing Frye,C,32,TOT,61,31,1023,127,283,.449,78,194,.402,49,89,.551,.587,24,28,.857,30,169,199,63,26,26,36,110,356
144,Danilo Gallinari,SF,27,DEN,53,53,1839,287,700,.410,87,239,.364,200,461,.434,.472,375,432,.868,51,230,281,135,42,19,77,87,1036
145,Langston Galloway,PG,24,NYK,74,7,1815,206,513,.402,70,196,.357,136,317,.429,.470,77,101,.762,39,225,264,172,61,20,53,162,559
146,Kevin Garnett,PF,39,MIN,38,38,556,54,115,.470,0,1,.000,54,114,.474,.470,14,21,.667,15,135,150,62,28,10,16,70,122
147,Marc Gasol,C,31,MEM,52,52,1791,328,707,.464,2,3,.667,326,704,.463,.465,203,245,.829,58,304,362,196,50,70,118,141,861
148,Pau Gasol,C,35,CHI,64,64,2032,417,889,.469,21,56,.375,396,833,.475,.481,210,261,.805,140,564,704,263,37,126,139,128,1065
149,Rudy Gay,SF,29,SAC,63,63,2137,421,897,.469,70,193,.363,351,704,.499,.508,171,218,.784,89,312,401,108,85,43,122,167,1083
150,Alonzo Gee,SF,28,NOP,72,38,1612,128,247,.518,17,61,.279,111,186,.597,.553,43,62,.694,59,184,243,71,61,13,52,168,316
151,Paul George,PF,25,IND,72,72,2538,542,1313,.413,191,513,.372,351,800,.439,.486,410,480,.854,70,430,500,296,135,25,242,213,1685
152,Taj Gibson,PF,30,CHI,71,53,1894,259,489,.530,0,3,.000,259,486,.533,.530,100,144,.694,201,288,489,105,47,73,78,178,618
153,Manu Ginobili,SG,38,SAS,53,0,1030,179,397,.451,61,163,.374,118,234,.504,.528,83,103,.806,24,114,138,164,57,9,91,90,502
154,Rudy Gobert,C,23,UTA,53,52,1699,173,311,.556,0,0,,173,311,.556,.556,141,242,.583,177,398,575,79,41,117,103,145,487
155,Drew Gooden,PF,34,WAS,28,0,297,31,98,.316,7,39,.179,24,59,.407,.352,8,12,.667,28,57,85,13,7,10,13,37,77
156,Archie Goodwin,SG,21,PHO,50,13,991,150,366,.410,18,81,.222,132,285,.463,.434,120,174,.690,24,106,130,99,20,10,84,71,438
157,Aaron Gordon,PF,20,ORL,72,32,1699,240,511,.470,38,125,.304,202,386,.523,.507,119,178,.669,143,328,471,117,53,51,62,143,637
